
> tax4us-app@0.1.0 dev
> next dev -p 3001

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.5.233:3001
- Environments: .env.local, .env

✓ Starting...
✓ Ready in 555ms
 GET / 200 in 3.2s (compile: 2.4s, render: 770ms)
 GET /api/pipeline/logs 200 in 94ms (compile: 79ms, render: 14ms)
 GET /api/pipeline/logs 200 in 28ms (compile: 8ms, render: 19ms)
 GET /api/pipeline/logs 200 in 12ms (compile: 4ms, render: 8ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/pipeline/logs 200 in 4ms (compile: 1606µs, render: 2ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 2ms, render: 3ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 4ms, render: 2ms)
 GET /api/pipeline/logs 200 in 19ms (compile: 11ms, render: 7ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 3ms, render: 4ms)
WP Client: Successfully fetched 100 posts.
Failed to set fetch cache https://tax4us.co.il/wp-json/wp/v2/posts?per_page=100&_embed Error: Failed to set Next.js data cache for https://tax4us.co.il/wp-json/wp/v2/posts?per_page=100&_embed, items over 2MB can not be cached (11138261 bytes)
    at ignore-listed frames
 GET /api/pipeline/verify 200 in 19.6s (compile: 43ms, render: 19.6s)
 GET /api/pipeline/logs 200 in 4ms (compile: 1740µs, render: 2ms)
 GET /api/pipeline/logs 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/pipeline/logs 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/pipeline/logs 200 in 3ms (compile: 1395µs, render: 1877µs)
 GET /api/pipeline/logs 200 in 8ms (compile: 3ms, render: 5ms)
WP Client: Successfully fetched 100 posts.
Failed to set fetch cache https://tax4us.co.il/wp-json/wp/v2/posts?per_page=100&_embed Error: Failed to set Next.js data cache for https://tax4us.co.il/wp-json/wp/v2/posts?per_page=100&_embed, items over 2MB can not be cached (11138267 bytes)
    at ignore-listed frames
 GET /api/pipeline/verify 200 in 19.2s (compile: 1672µs, render: 19.2s)
 GET /api/pipeline/logs 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 3ms, render: 7ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 30ms, render: 13ms)
 GET /api/pipeline/logs 200 in 57ms (compile: 24ms, render: 33ms)
 GET /api/pipeline/logs 200 in 50ms (compile: 22ms, render: 28ms)
 GET /api/pipeline/logs 200 in 39ms (compile: 23ms, render: 16ms)
  Reload env: .env.local
 GET / 200 in 192ms (compile: 125ms, render: 67ms)
 GET /api/pipeline/logs 200 in 42ms (compile: 38ms, render: 4ms)
 GET /api/pipeline/logs 200 in 4ms (compile: 1543µs, render: 2ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 20ms, render: 15ms)
 GET /api/pipeline/logs 200 in 65ms (compile: 49ms, render: 15ms)
 GET /api/pipeline/logs 200 in 31ms (compile: 17ms, render: 14ms)
 GET /api/pipeline/logs 200 in 66ms (compile: 47ms, render: 19ms)
 GET /api/pipeline/logs 200 in 68ms (compile: 21ms, render: 48ms)
 GET /api/pipeline/logs 200 in 56ms (compile: 11ms, render: 45ms)
 GET /api/pipeline/logs 200 in 61ms (compile: 31ms, render: 30ms)
 GET /api/pipeline/logs 200 in 45ms (compile: 11ms, render: 34ms)
 GET /api/pipeline/logs 200 in 69ms (compile: 44ms, render: 25ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 22ms, render: 13ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 22ms, render: 13ms)
 GET /api/pipeline/logs 200 in 57ms (compile: 48ms, render: 9ms)
 GET /api/pipeline/logs 200 in 65ms (compile: 30ms, render: 35ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 14ms, render: 29ms)
 GET /api/pipeline/logs 200 in 90ms (compile: 51ms, render: 39ms)
 GET /api/pipeline/logs 200 in 31ms (compile: 14ms, render: 17ms)
 GET /api/pipeline/logs 200 in 42ms (compile: 11ms, render: 31ms)
 GET /api/pipeline/logs 200 in 37ms (compile: 27ms, render: 10ms)
 GET /api/pipeline/logs 200 in 24ms (compile: 14ms, render: 10ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 30ms, render: 13ms)
 GET /api/pipeline/logs 200 in 145ms (compile: 89ms, render: 56ms)
 GET /api/pipeline/logs 200 in 18ms (compile: 11ms, render: 7ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 12ms, render: 31ms)
 GET /api/pipeline/logs 200 in 80ms (compile: 60ms, render: 20ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 29ms, render: 15ms)
 GET /api/pipeline/logs 200 in 91ms (compile: 80ms, render: 12ms)
 GET /api/pipeline/logs 200 in 47ms (compile: 22ms, render: 24ms)
 GET /api/pipeline/logs 200 in 65ms (compile: 40ms, render: 25ms)
 GET /api/pipeline/logs 200 in 51ms (compile: 28ms, render: 23ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 17ms, render: 31ms)
 GET /api/pipeline/logs 200 in 45ms (compile: 34ms, render: 11ms)
 GET /api/pipeline/logs 200 in 92ms (compile: 76ms, render: 15ms)
 GET /api/pipeline/logs 200 in 22ms (compile: 13ms, render: 9ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 16ms, render: 19ms)
 GET /api/pipeline/logs 200 in 10ms (compile: 5ms, render: 5ms)
 GET /api/pipeline/logs 200 in 37ms (compile: 10ms, render: 27ms)
 GET /api/pipeline/logs 200 in 28ms (compile: 6ms, render: 22ms)
 GET /api/pipeline/logs 200 in 16ms (compile: 9ms, render: 7ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 17ms, render: 20ms)
 GET /api/pipeline/logs 200 in 65ms (compile: 48ms, render: 17ms)
 GET /api/pipeline/logs 200 in 39ms (compile: 27ms, render: 12ms)
 GET /api/pipeline/logs 200 in 55ms (compile: 40ms, render: 15ms)
 GET /api/pipeline/logs 200 in 45ms (compile: 15ms, render: 29ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 17ms, render: 31ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 25ms, render: 11ms)
 GET /api/pipeline/logs 200 in 27ms (compile: 8ms, render: 19ms)
 GET /api/pipeline/logs 200 in 75ms (compile: 22ms, render: 53ms)
 GET /api/pipeline/logs 200 in 78ms (compile: 30ms, render: 47ms)
 GET /api/pipeline/logs 200 in 37ms (compile: 26ms, render: 10ms)
 GET /api/pipeline/logs 200 in 63ms (compile: 28ms, render: 35ms)
 GET /api/pipeline/logs 200 in 71ms (compile: 31ms, render: 39ms)
 GET /api/pipeline/logs 200 in 79ms (compile: 43ms, render: 36ms)
 GET /api/pipeline/logs 200 in 68ms (compile: 18ms, render: 50ms)
 GET /api/pipeline/logs 200 in 60ms (compile: 19ms, render: 41ms)
 GET /api/pipeline/logs 200 in 28ms (compile: 14ms, render: 14ms)
 GET /api/pipeline/logs 200 in 31ms (compile: 18ms, render: 13ms)
 GET /api/pipeline/logs 200 in 59ms (compile: 41ms, render: 17ms)
 GET /api/pipeline/logs 200 in 31ms (compile: 21ms, render: 11ms)
 GET /api/pipeline/logs 200 in 73ms (compile: 32ms, render: 41ms)
 GET /api/pipeline/logs 200 in 25ms (compile: 14ms, render: 12ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 27ms, render: 22ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 27ms, render: 9ms)
 GET /api/pipeline/logs 200 in 86ms (compile: 31ms, render: 55ms)
 GET /api/pipeline/logs 200 in 18ms (compile: 6ms, render: 12ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 32ms, render: 12ms)
 GET /api/pipeline/logs 200 in 57ms (compile: 18ms, render: 39ms)
 GET /api/pipeline/logs 200 in 49ms (compile: 26ms, render: 23ms)
 GET /api/pipeline/logs 200 in 58ms (compile: 32ms, render: 25ms)
 GET /api/pipeline/logs 200 in 50ms (compile: 28ms, render: 23ms)
 GET /api/pipeline/logs 200 in 81ms (compile: 31ms, render: 50ms)
 GET /api/pipeline/logs 200 in 50ms (compile: 30ms, render: 20ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 20ms, render: 14ms)
 GET /api/pipeline/logs 200 in 15ms (compile: 6ms, render: 9ms)
 GET /api/pipeline/logs 200 in 27ms (compile: 18ms, render: 9ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 21ms, render: 13ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 17ms, render: 29ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 28ms, render: 17ms)
 GET /api/pipeline/logs 200 in 47ms (compile: 27ms, render: 20ms)
 GET /api/pipeline/logs 200 in 12ms (compile: 4ms, render: 7ms)
 GET /api/pipeline/logs 200 in 114ms (compile: 53ms, render: 61ms)
 GET /api/pipeline/logs 200 in 28ms (compile: 14ms, render: 14ms)
 GET /api/pipeline/logs 200 in 53ms (compile: 34ms, render: 19ms)
 GET /api/pipeline/logs 200 in 47ms (compile: 13ms, render: 34ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 13ms, render: 31ms)
 GET /api/pipeline/logs 200 in 49ms (compile: 41ms, render: 8ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 18ms, render: 28ms)
 GET /api/pipeline/logs 200 in 57ms (compile: 18ms, render: 39ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 14ms, render: 34ms)
 GET /api/pipeline/logs 200 in 52ms (compile: 14ms, render: 38ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 14ms, render: 20ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 20ms, render: 25ms)
 GET /api/pipeline/logs 200 in 76ms (compile: 60ms, render: 16ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 15ms, render: 30ms)
 GET /api/pipeline/logs 200 in 28ms (compile: 12ms, render: 16ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 17ms, render: 18ms)
 GET /api/pipeline/logs 200 in 18ms (compile: 6ms, render: 12ms)
 GET /api/pipeline/logs 200 in 62ms (compile: 17ms, render: 45ms)
 GET /api/pipeline/logs 200 in 42ms (compile: 12ms, render: 29ms)
 GET /api/pipeline/logs 200 in 37ms (compile: 15ms, render: 22ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 17ms, render: 19ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 21ms, render: 15ms)
 GET /api/pipeline/logs 200 in 25ms (compile: 8ms, render: 17ms)
 GET /api/pipeline/logs 200 in 26ms (compile: 15ms, render: 11ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 17ms, render: 31ms)
 GET /api/pipeline/logs 200 in 18ms (compile: 7ms, render: 11ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 22ms, render: 11ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 4ms, render: 6ms)
 GET /api/pipeline/logs 200 in 68ms (compile: 24ms, render: 45ms)
 GET /api/pipeline/logs 200 in 14ms (compile: 6ms, render: 8ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 19ms, render: 27ms)
 GET /api/pipeline/logs 200 in 25ms (compile: 14ms, render: 10ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 16ms, render: 18ms)
 GET /api/pipeline/logs 200 in 33ms (compile: 16ms, render: 17ms)
 GET /api/pipeline/logs 200 in 16ms (compile: 6ms, render: 10ms)
 GET /api/pipeline/logs 200 in 67ms (compile: 26ms, render: 41ms)
 GET /api/pipeline/logs 200 in 29ms (compile: 9ms, render: 20ms)
 GET /api/pipeline/logs 200 in 52ms (compile: 37ms, render: 15ms)
 GET /api/pipeline/logs 200 in 78ms (compile: 52ms, render: 26ms)
  Reload env: .env
 GET / 200 in 136ms (compile: 94ms, render: 43ms)
 GET /api/pipeline/logs 200 in 505ms (compile: 500ms, render: 5ms)
 GET /api/pipeline/logs 200 in 4ms (compile: 1472µs, render: 2ms)
 GET /api/pipeline/logs 200 in 62ms (compile: 37ms, render: 26ms)
 GET /api/pipeline/logs 200 in 54ms (compile: 11ms, render: 44ms)
 GET /api/pipeline/logs 200 in 72ms (compile: 45ms, render: 27ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 22ms, render: 22ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 17ms, render: 23ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 20ms, render: 12ms)
 GET /api/pipeline/logs 200 in 60ms (compile: 22ms, render: 38ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 21ms, render: 22ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 20ms, render: 14ms)
 GET /api/pipeline/logs 200 in 54ms (compile: 38ms, render: 16ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 22ms, render: 22ms)
 GET /api/pipeline/logs 200 in 71ms (compile: 32ms, render: 39ms)
 GET /api/pipeline/logs 200 in 45ms (compile: 27ms, render: 18ms)
 GET /api/pipeline/logs 200 in 18ms (compile: 7ms, render: 11ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 3.0s (compile: 15ms, render: 3.0s)
 GET /api/pipeline/logs 200 in 20ms (compile: 3ms, render: 17ms)
 GET /api/pipeline/logs 200 in 16ms (compile: 8ms, render: 8ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 7ms, render: 27ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/pipeline/logs 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 1991µs, render: 4ms)
 GET /api/pipeline/logs 200 in 3ms (compile: 1203µs, render: 1723µs)
 GET /api/pipeline/logs 200 in 13ms (compile: 9ms, render: 4ms)
 GET /api/pipeline/logs 200 in 170ms (compile: 19ms, render: 151ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 27ms, render: 19ms)
 GET /api/pipeline/logs 200 in 13ms (compile: 3ms, render: 10ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/pipeline/logs 200 in 13ms (compile: 6ms, render: 7ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 3ms, render: 7ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 7ms, render: 4ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/pipeline/logs 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/pipeline/logs 200 in 38ms (compile: 21ms, render: 17ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 2ms, render: 2ms)
 GET /api/pipeline/logs 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/pipeline/logs 200 in 12ms (compile: 6ms, render: 6ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 4ms, render: 4ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 1735µs, render: 3ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 1723µs, render: 4ms)
